,0
2021-05-24,1.911
2021-05-25,1.913
2021-05-26,1.915
2021-05-27,1.917
2021-05-28,1.918
2021-06-01,1.919
2021-06-02,1.921
2021-06-03,1.921
2021-06-04,1.921
2021-06-07,1.922
2021-06-08,1.924
2021-06-09,1.924
2021-06-10,1.926
2021-06-11,1.928
2021-06-14,1.93
2021-06-15,1.932
2021-06-16,1.933
2021-06-17,1.934
2021-06-18,1.934
2021-06-21,1.935
2021-06-22,1.936
2021-06-23,1.937
2021-06-24,1.937
2021-06-25,1.938
2021-06-28,1.939
2021-06-29,1.94
2021-06-30,1.941
2021-07-01,1.941
2021-07-02,1.941
2021-07-06,1.943
2021-07-07,1.943
2021-07-08,1.942
2021-07-09,1.942
2021-07-12,1.942
2021-07-13,1.941
2021-07-14,1.94
2021-07-15,1.94
2021-07-16,1.938
2021-07-19,1.937
2021-07-20,1.937
2021-07-21,1.936
2021-07-22,1.936
2021-07-23,1.936
2021-07-26,1.936
2021-07-27,1.937
2021-07-28,1.937
2021-07-29,1.938
2021-07-30,1.939
2021-08-02,1.938
2021-08-03,1.939
2021-08-04,1.939
2021-08-05,1.939
2021-08-06,1.939
2021-08-09,1.94
2021-08-10,1.94
2021-08-11,1.94
2021-08-12,1.94
2021-08-13,1.94
2021-08-16,1.94
2021-08-17,1.94
2021-08-18,1.94
2021-08-19,1.94
2021-08-20,1.942
2021-08-23,1.944
2021-08-24,1.946
2021-08-25,1.947
2021-08-26,1.948
2021-08-27,1.95
2021-08-30,1.951
2021-08-31,1.951
2021-09-01,1.95
2021-09-02,1.951
2021-09-03,1.951
2021-09-07,1.949
2021-09-08,1.948
2021-09-09,1.947
2021-09-10,1.946
2021-09-13,1.946
2021-09-14,1.946
2021-09-15,1.947
2021-09-16,1.948
2021-09-17,1.95
2021-09-20,1.951
2021-09-21,1.952
2021-09-22,1.953
2021-09-23,1.954
2021-09-24,1.955
2021-09-27,1.956
2021-09-28,1.957
2021-09-29,1.957
2021-09-30,1.957
2021-10-01,1.958
2021-10-04,1.96
2021-10-05,1.961
2021-10-06,1.964
2021-10-07,1.965
2021-10-08,1.968
2021-10-11,1.971
2021-10-12,1.973
2021-10-13,1.974
2021-10-14,1.977
2021-10-15,1.98
2021-10-18,1.982
2021-10-19,1.985
