,0
2025-04-17,1.769
2025-04-21,1.767
2025-04-22,1.764
2025-04-23,1.761
2025-04-24,1.76
2025-04-25,1.759
2025-04-28,1.758
2025-04-29,1.76
2025-04-30,1.762
2025-05-01,1.763
2025-05-02,1.766
2025-05-05,1.771
2025-05-06,1.777
2025-05-07,1.782
2025-05-08,1.787
2025-05-09,1.794
2025-05-12,1.801
2025-05-13,1.808
2025-05-14,1.816
2025-05-15,1.824
2025-05-16,1.833
2025-05-19,1.841
2025-05-20,1.851
2025-05-21,1.861
2025-05-22,1.873
2025-05-23,1.883
2025-05-27,1.894
2025-05-28,1.906
2025-05-29,1.918
2025-05-30,1.93
2025-06-02,1.94
2025-06-03,1.951
2025-06-04,1.963
2025-06-05,1.975
2025-06-06,1.985
